Name,Price,Picture
vetplus Coatex 240 comprimidos (240 Comprimidos),53.95,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg
farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato (60 Comprimidos),20.12,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato (360 Comprimidos),104.93,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
Menforsan Suplemento nutricional alergias perros y gatos (120 ml),13.76,https://www.petsonic.com/28224-large_default/menforsan-suplemento-nutricional-alergias-perros-y-gatos.jpg
Menforsan Suplemento nutricional articulaciones perros y gatos (120 ml),13.76,https://www.petsonic.com/28225-large_default/menforsan-suplemento-nutricional-articulaciones-perros-y-gatos.jpg
Menforsan Suplemento nutricional intestinal perros y gatos (120 ml),13.76,https://www.petsonic.com/28227-large_default/menforsan-suplemento-nutricional-intestinal-perros-y-gatos.jpg
Menforsan Suplemento nutricional relajacion perros y gatos (120 ml),13.76,https://www.petsonic.com/28228-large_default/menforsan-suplemento-nutricional-relajacion-perros-y-gatos.jpg
Brit care aceite de salmon perros y gatos (250 ml),10.95,https://www.petsonic.com/28593-large_default/brit-care-aceite-de-salmon-perros-y-gatos.jpg
Brit care aceite de salmon perros y gatos (1L),19.95,https://www.petsonic.com/28593-large_default/brit-care-aceite-de-salmon-perros-y-gatos.jpg
virbac Nutriplus Gel 120gr (120 gr),16.39,https://www.petsonic.com/14231-large_default/virbac-nutriplus-gel-120gr-para-perros-gatos.jpg
virbac Allerdem Pipetas Dermatologicas (6 Pipetas - 2 ml),20.82,https://www.petsonic.com/14204-large_default/virbac-allerdem-pipetas-dermatologicas-para-perros-gatos.jpg
virbac Allerdem Pipetas Dermatologicas (6 Pipetas - 4 ml),26.02,https://www.petsonic.com/14204-large_default/virbac-allerdem-pipetas-dermatologicas-para-perros-gatos.jpg
